;name,id,order,use,new,option,useContinuousMap,event,Category,loadingBG,maxPlayer,expMod,pointMod,league
zp_uprising,60,60,1,,,1,,0,cs_italy_bg,32,1,1,0
zp_aztec,61,61,1,,,1,,0,cs_italy_bg,32,1,1,0
cs_estate,62,62,1,,,1,,2,background01,32,1,1,0
uc_museum,63,63,1,,,1,,0,background01,32,1,1,0
uc_shutdown,64,64,1,,,1,,0,background01,32,1,1,0
uc_aztec,65,65,1,,,1,,0,background01,32,1,1,0
de_tosca,66,66,1,,,1,,1,de_dust2_bg,32,1,1,1
zd_boss,67,67,1,,,0,,0,background01,32,1,1,0
aim_dust,68,68,1,,,1,,0,background01,32,1,1,0
zp_estate,69,69,1,,,1,,0,cs_italy_bg,32,1,1,0
de_storm,70,70,1,,,1,,1,background01,32,1,1,1
zp_storm,71,71,1,,,1,,0,background01,32,1,1,0
zr_italy,72,72,1,,,1,,2,cs_italy_bg,32,1,1,0
hs2_italy2,73,73,1,,,1,,0,cs_italy_bg,32,1,1,0
hs2_office,74,74,1,,,1,,0,cs_italy_bg,32,1,1,0
hs2_assault,75,75,1,,,1,,0,cs_italy_bg,32,1,1,0
hs2_estate,76,76,1,,,1,,0,cs_italy_bg,32,1,1,0
gb_varena,77,77,1,,,1,,0,cs_italy_bg,32,1,1,0
test_football,78,78,1,,,1,,0,cs_italy_bg,32,1,1,0
de_cornerwork2,79,79,1,,,1,,1,background01,32,1,1,0
hs2_cargoship,80,80,1,,,1,,0,cs_italy_bg,32,1,1,0
zc_laboratory,81,81,1,,,1,,0,background01,16,1,1,0
de_headquarter,82,82,1,,,1,,1,background01,32,1,1,0
hs2_studio,83,83,1,,,1,,0,cs_italy_bg,32,1,1,0
de_storage,84,84,1,,,1,,1,background01,32,1,1,0
dm_sa01,85,85,1,,,1,,0,background01,32,1,1,1
hs2_sa01,86,86,1,,,1,,0,background01,32,1,1,0
de_sa02,87,87,1,,,1,,0,background01,32,1,1,0
hs2_sa02,88,88,1,,,1,,0,background01,32,1,1,0
zd_italy,89,89,1,,,1,,0,background01,32,1,1,0
de_sa03,90,90,1,,,1,,0,background01,32,1,1,0
hs2_sa03,91,91,1,,,1,,0,background01,32,1,1,0
dm_dustrush,92,92,1,,,1,,0,background01,32,1,1,0
hs2_phouse,93,93,1,,,1,,0,background01,32,1,1,0
zz_phouse,94,94,1,,,1,,0,background01,32,1,1,0
awp_metro,95,95,1,,weaponrestrict(7),0,,0,background01,32,1,1,0
ew_lasttrain,96,96,1,,,1,,0,background01,32,1,1,0
zz_prodigy,97,97,1,,,1,,1,background01,32,1,1,0
dm_playground,98,98,1,,,1,,0,background01,32,1,1,0
mad_city,99,99,1,,,1,,0,background01,32,1,1,0
zz_festival,109,109,1,,,1,,0,background01,32,1,1,0
gm_giant,110,110,1,,,0,,0,background01,32,1,1,0
de_vertigo,112,112,1,,,1,,1,background01,32,1,1,0
hm_multi01,113,113,1,,,1,,0,cs_italy_bg,16,1,1,0
mad_city_big,114,114,1,,,1,,0,background01,40,1,1,0
zd_trainyard,115,115,1,1,,1,,0,background01,32,1,1,0
zd_nuke,116,116,1,,,1,,0,background01,32,1,1,0
zd_aztec,117,117,1,1,,1,,0,background01,32,1,1,0
hs_italy2_xmas,118,118,1,1,,1,,0,background01,32,1,1,0
hs2_italy2_xmas,119,119,1,1,,1,,0,background01,32,1,1,0

