;Index,Name,recourcename,ClassName,Category,InGameID,UseType,Team,Level,ExpPointModCategory,ExpModPriority,ExpModMin,ExpModMax,PCBangExpModMin,PCBangExpModMax,PointModPriority,PointModMin,PointModMax,PCBangPointModMin,PCBangPointModMax,InventoryType,Damage,HitRate,Reaction,FiringSpeed,Weight,Stability,Skill,AmmoClip,AmmoMax,SkinBase,Period,BuyerType,ItemBoxName,TeamBonusExpOther,TeamBonusExpSelf,TeamBonusPointOther,TeamBonusPointSelf,rewardID
17,K&M.45 Tactical,usp45,Equipment,1,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,22,67,100,86,85,15,0,20,120,,1,,,0,0,0,0,0
18,Bullpup,aug,Equipment,4,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,22,67,100,86,85,15,0,20,120,,1,,,0,0,0,0,0
19,Clarion 5.56,famas,Equipment,4,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,22,67,100,86,85,15,0,20,120,,1,,,0,0,0,0,0
20,IDF Defender,Galil,Equipment,4,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,22,67,100,86,85,15,0,20,120,,1,,,0,0,0,0,0
21,Krieg552,sg552,Equipment,4,26,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,22,67,100,86,85,15,0,20,120,,1,,,0,0,0,0,0
22,Leone12 Gauge Super,m3,Equipment,2,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,22,67,100,86,85,15,0,20,120,,1,,,0,0,0,0,0
23,Leone YG1265 Auto Shotgun,xm1014,Equipment,2,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,22,67,100,86,85,15,0,20,120,,1,,,0,0,0,0,0
24,Ingram MAC-10,MAC10,Equipment,3,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,22,67,100,86,85,15,0,20,120,,1,,,0,0,0,0,0
25,ES C90,P90,Equipment,3,29,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,22,67,100,86,85,15,0,20,120,,1,,,0,0,0,0,0
26,Schmidt Machine Pistol,TMP,Equipment,3,22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,22,67,100,86,85,15,0,20,120,,1,,,0,0,0,0,0
27,KM UMP45,UMP45,Equipment,3,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,22,67,100,86,85,15,0,20,120,,1,,,0,0,0,0,0
28,D3AU-1,G3SG1,Equipment,6,23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,22,67,100,86,85,15,0,20,120,,1,,,0,0,0,0,0
29,Schmidt Scout,Scout,Equipment,6,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,22,67,100,86,85,15,0,20,120,,1,,,0,0,0,0,0
30,Krieg550 Commando,sg550,Equipment,6,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,22,67,100,86,85,15,0,20,120,,1,,,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

