ItemID,Name,resourcename,ResourceVariation,Class,Category,BuyCategory,,,,,,,,,,,,,,,,,,,
24,#CSO2_ITEM_NAME_deserteagle,deserteagle,default,item,weapon,pistol,,,,,,,,,,,,,,,,,,,
25,#CSO2_ITEM_NAME_sg552,sg552,default,item,weapon,rifle,,,,,,,,,,,,,,,,,,,
26,#CSO2_ITEM_NAME_ak47,ak47,default,item,weapon,rifle,,,,,,,,,,,,,,,,,,,
27,#CSO2_ITEM_NAME_KNIFE,default_knife,default,item,weapon,knife,,,,,,,,,,,,,,,,,,,
28,#CSO2_ITEM_NAME_p90,p90,default,item,weapon,smg,,,,,,,,,,,,,,,,,,,
29,#CSO2_ITEM_NAME_FNC,fnc,default,item,weapon,rifle,,,,,,,,,,,,,,,,,,,
30,#CSO2_ITEM_NAME_ANACONDA,anaconda,default,item,weapon,pistol,,,,,,,,,,,,,,,,,,,
31,#CSO2_ITEM_NAME_MP7,mp7,default,item,weapon,smg,,,,,,,,,,,,,,,,,,,
32,#CSO2_ITEM_NAME_F2000,f2000,default,item,weapon,rifle,,,,,,,,,,,,,,,,,,,
33,#CSO2_ITEM_NAME_CROWBAR,crowbar,default,item,weapon,knife,,,,,,,,,,,,,,,,,,,
34,#CSO2_ITEM_NAME_defusekit,defusekit,default,item,weapon,equip,,,,,,,,,,,,,,,,,,,
35,#CSO2_ITEM_NAME_nightvision,nightvision,default,item,weapon,equip,,,,,,,,,,,,,,,,,,,
36,#CSO2_ITEM_NAME_kevlar,kevlarvest,default,item,weapon,equip,,,,,,,,,,,,,,,,,,,
37,#CSO2_ITEM_NAME_kevlarhelmet,kevlarvesthelmet,default,item,weapon,equip,,,,,,,,,,,,,,,,,,,
38,#CSO2_ITEM_NAME_c4,c4,default,item,weapon,equip,,,,,,,,,,,,,,,,,,,
44,#CSO2_ITEM_NAME_striker12,striker12,default,item,weapon,shotgun,,,,,,,,,,,,,,,,,,,
45,#CSO2_ITEM_NAME_ak47_gold,ak47,gold,item,weapon,rifle,,,,,,,,,,,,,,,,,,,
46,#CSO2_ITEM_NAME_m4a1_gold,m4a1,gold,item,weapon,rifle,,,,,,,,,,,,,,,,,,,
47,#CSO2_ITEM_NAME_scarH,scarh,default,item,weapon,rifle,,,,,,,,,,,,,,,,,,,
48,#CSO2_ITEM_NAME_fal,fal,default,item,weapon,rifle,,,,,,,,,,,,,,,,,,,
49,#CSO2_ITEM_NAME_dr200,dr200,default,item,weapon,rifle,,,,,,,,,,,,,,,,,,,
50,#CSO2_ITEM_NAME_waltherpp,waltherpp,default,item,weapon,pistol,,,,,,,,,,,,,,,,,,,
51,#CSO2_ITEM_NAME_cupidawp,awp,cupid,item,weapon,snip,,,,,,,,,,,,,,,,,,,
52,#CSO2_ITEM_NAME_m60,m60,default,item,weapon,mach,,,,,,,,,,,,,,,,,,,
53,#CSO2_ITEM_NAME_mx4,mx4,default,item,weapon,smg,,,,,,,,,,,,,,,,,,,
54,#CSO2_ITEM_NAME_m4a1_tan,m4a1,tan,item,weapon,rifle,,,,,,,,,,,,,,,,,,,
55,#CSO2_ITEM_NAME_ak47_old,ak47,old,item,weapon,rifle,,,,,,,,,,,,,,,,,,,
56,#CSO2_ITEM_NAME_RPG7,rpg7,default,item,weapon,snip,,,,,,,,,,,,,,,,,,,
58,#CSO2_ITEM_NAME_RADIO,radio,default,item,weapon,equip,,,,,,,,,,,,,,,,,,,
59,#CSO2_ITEM_NAME_ar57,ar57,default,item,weapon,smg,,,,,,,,,,,,,,,,,,,
60,#CSO2_ITEM_NAME_kriss_superv,krisssuperv,default,item,weapon,smg,,,,,,,,,,,,,,,,,,,
61,#CSO2_ITEM_NAME_awp_tan,awp,tan,item,weapon,snip,,,,,,,,,,,,,,,,,,,
62,#CSO2_ITEM_NAME_scarl,scarl,default,item,weapon,rifle,,,,,,,,,,,,,,,,,,,
63,#CSO2_ITEM_NAME_aek971,aek971,default,item,weapon,rifle,,,,,,,,,,,,,,,,,,,
64,#CSO2_ITEM_NAME_helucketbag,hegrenade,special,item,weapon,equip,,,,,,,,,,,,,,,,,,,
65,#CSO2_ITEM_NAME_fbfirework,flashbang,special,item,weapon,equip,,,,,,,,,,,,,,,,,,,
66,#CSO2_ITEM_NAME_t65,t65,default,item,weapon,rifle,,,,,,,,,,,,,,,,,,,
67,#CSO2_ITEM_NAME_t86,t86,default,item,weapon,rifle,,,,,,,,,,,,,,,,,,,
68,#CSO2_ITEM_NAME_HUNTKNIFE,huntknife,default,item,weapon,knife,,,,,,,,,,,,,,,,,,,
69,#CSO2_ITEM_NAME_vaccine,vaccine,default,item,weapon,equip,,,,,,,,,,,,,,,,,,,
70,#CSO2_ITEM_NAME_acr,acr,default,item,weapon,rifle,,,,,,,,,,,,,,,,,,,
71,#CSO2_ITEM_NAME_ak12,ak12,default,item,weapon,rifle,,,,,,,,,,,,,,,,,,,
72,#CSO2_ITEM_NAME_m870,m870,default,item,weapon,shotgun,,,,,,,,,,,,,,,,,,,
73,#CSO2_ITEM_NAME_pkm,pkm,default,item,weapon,mach,,,,,,,,,,,,,,,,,,,
74,#CSO2_ITEM_NAME_k5,k5,default,item,weapon,pistol,,,,,,,,,,,,,,,,,,,
75,#CSO2_ITEM_NAME_K1,k1,default,item,weapon,smg,,,,,,,,,,,,,,,,,,,
76,#CSO2_ITEM_NAME_survivorknife,survivorknife,default,item,weapon,knife,,,,,,,,,,,,,,,,,,,
77,#CSO2_ITEM_NAME_dbarrel,dbarrel,default,item,weapon,shotgun,,,,,,,,,,,,,,,,,,,
78,#CSO2_ITEM_NAME_g3ka4,g3ka4,default,item,weapon,rifle,,,,,,,,,,,,,,,,,,,
79,#CSO2_ITEM_NAME_huntknife_gold,huntknife,gold,item,weapon,knife,,,,,,,,,,,,,,,,,,,
80,#CSO2_ITEM_NAME_wrench,wrench,default,item,weapon,knife,,,,,,,,,,,,,,,,,,,
81,#CSO2_ITEM_NAME_milagrenade,hegrenade,milagrenade,item,weapon,equip,,,,,,,,,,,,,,,,,,,
82,#CSO2_ITEM_NAME_g36k,g36k,default,item,weapon,rifle,,,,,,,,,,,,,,,,,,,
83,#CSO2_ITEM_NAME_wrench_black1,wrenchblack1,default,item,weapon,knife,,,,,,,,,,,,,,,,,,,
84,#CSO2_ITEM_NAME_wrench_gold1,wrenchgold1,default,item,weapon,knife,,,,,,,,,,,,,,,,,,,
85,#CSO2_ITEM_NAME_mg3,mg3,default,item,weapon,mach,,,,,,,,,,,,,,,,,,,
86,#CSO2_ITEM_NAME_trg42,trg42,default,item,weapon,snip,,,,,,,,,,,,,,,,,,,
87,#CSO2_ITEM_NAME_pkmfire,pkmfire,default,item,weapon,mach,,,,,,,,,,,,,,,,,,,
88,#CSO2_ITEM_NAME_DEFAULTKNIFECAMO1,defaultknifecamo1,default,item,weapon,knife,,,,,,,,,,,,,,,,,,,
89,#CSO2_ITEM_NAME_TASERKNIFE,taserknife,default,item,weapon,knife,,,,,,,,,,,,,,,,,,,
90,#CSO2_ITEM_NAME_mk2grenade,hegrenade,mk2grenade,item,weapon,equip,,,,,,,,,,,,,,,,,,,
91,#CSO2_ITEM_NAME_k2c,k2c,default,item,weapon,rifle,,,,,,,,,,,,,,,,,,,
92,#CSO2_ITEM_NAME_mk23,mk23,default,item,weapon,pistol,,,,,,,,,,,,,,,,,,,
93,#CSO2_ITEM_NAME_m4a1flash,m4a1flash,default,item,weapon,rifle,,,,,,,,,,,,,,,,,,,
94,#CSO2_ITEM_NAME_ak47flash,ak47flash,default,item,weapon,rifle,,,,,,,,,,,,,,,,,,,
95,#CSO2_ITEM_NAME_qsz92,qsz92,default,item,weapon,pistol,,,,,,,,,,,,,,,,,,,
96,#CSO2_ITEM_NAME_qbs09,qbs09,default,item,weapon,shotgun,,,,,,,,,,,,,,,,,,,
97,#CSO2_ITEM_NAME_M1903A3,m1903a3,default,item,weapon,rifle,,,,,,,,,,,,,,,,,,,
98,#CSO2_ITEM_NAME_M1GARAND,m1garand,default,item,weapon,rifle,,,,,,,,,,,,,,,,,,,
99,#CSO2_ITEM_NAME_MSBS,msbs,default,item,weapon,rifle,,,,,,,,,,,,,,,,,,,
100,#CSO2_ITEM_NAME_csls06,csls06,default,item,weapon,smg,,,,,,,,,,,,,,,,,,,
101,#CSO2_ITEM_NAME_m3boom,m3boom,default,item,weapon,shotgun,,,,,,,,,,,,,,,,,,,
102,#CSO2_ITEM_NAME_m14ebr,m14ebr,default,item,weapon,rifle,,,,,,,,,,,,,,,,,,,
103,#CSO2_ITEM_NAME_thunder,thunder,default,item,weapon,pistol,,,,,,,,,,,,,,,,,,,
104,#CSO2_ITEM_NAME_m99,m99,default,item,weapon,snip,,,,,,,,,,,,,,,,,,,
105,#CSO2_ITEM_NAME_mp7phoenix,mp7phoenix,default,item,weapon,smg,,,,,,,,,,,,,,,,,,,
106,#CSO2_ITEM_NAME_deserteaglephoenix,deaglephoenix,default,item,weapon,pistol,,,,,,,,,,,,,,,,,,,
107,#CSO2_ITEM_NAME_deserteaglephoenix,deaglephoenix,special,item,weapon,pistol,,,,,,,,,,,,,,,,,,,
108,#CSO2_ITEM_NAME_mk18,mk18,default,item,weapon,rifle,,,,,,,,,,,,,,,,,,,
109,#CSO2_ITEM_NAME_akm,akm,default,item,weapon,rifle,,,,,,,,,,,,,,,,,,,
110,#CSO2_ITEM_NAME_awm,awm,default,item,weapon,snip,,,,,,,,,,,,,,,,,,,
111,#CSO2_ITEM_NAME_m1911,m1911,default,item,weapon,pistol,,,,,,,,,,,,,,,,,,,
112,#CSO2_ITEM_NAME_af2011a0,af2011a0,default,item,weapon,pistol,,,,,,,,,,,,,,,,,,,
113,#CSO2_ITEM_NAME_m16a4,m16a4,default,item,weapon,rifle,,,,,,,,,,,,,,,,,,,
114,#CSO2_ITEM_NAME_TOYHAMMER,toyhammer,default,item,weapon,knife,,,,,,,,,,,,,,,,,,,
115,#CSO2_ITEM_NAME_M9BAYONET,m9bayonet,default,item,weapon,knife,,,,,,,,,,,,,,,,,,,
116,#CSO2_ITEM_NAME_lr300,lr300,default,item,weapon,rifle,,,,,,,,,,,,,,,,,,,
117,#CSO2_ITEM_NAME_tac15,tac15,default,item,weapon,rifle,,,,,,,,,,,,,,,,,,,
118,#CSO2_ITEM_NAME_netlauncher,netlauncher,default,item,weapon,shotgun,,,,,,,,,,,,,,,,,,,
119,#CSO2_ITEM_NAME_harpoon,harpoon,default,item,weapon,knife,,,,,,,,,,,,,,,,,,,
120,#CSO2_ITEM_NAME_qbz95,qbz95,default,item,weapon,rifle,,,,,,,,,,,,,,,,,,,
121,#CSO2_ITEM_NAME_m79,m79,default,item,weapon,mach,,,,,,,,,,,,,,,,,,,
122,#CSO2_ITEM_NAME_m32,m32,default,item,weapon,mach,,,,,,,,,,,,,,,,,,,
123,#CSO2_ITEM_NAME_paw20,paw20,default,item,weapon,mach,,,,,,,,,,,,,,,,,,,
124,#CSO2_ITEM_NAME_chinalake,chinalake,default,item,weapon,mach,,,,,,,,,,,,,,,,,,,
125,#CSO2_ITEM_NAME_m95,m95,default,item,weapon,snip,,,,,,,,,,,,,,,,,,,
126,#CSO2_ITEM_NAME_m107a1,m107a1,default,item,weapon,snip,,,,,,,,,,,,,,,,,,,
127,#CSO2_ITEM_NAME_awmgauss,awmgauss,default,item,weapon,snip,,,,,,,,,,,,,,,,,,,
128,#CSO2_ITEM_NAME_m16a2,m16a2,default,item,weapon,rifle,,,,,,,,,,,,,,,,,,,
129,#CSO2_ITEM_NAME_k12,k12,default,item,weapon,mach,,,,,,,,,,,,,,,,,,,
130,#CSO2_ITEM_NAME_usas12,usas12,default,item,weapon,shotgun,,,,,,,,,,,,,,,,,,,
131,#CSO2_ITEM_NAME_af2011a1,af2011a1,default,item,weapon,pistol,,,,,,,,,,,,,,,,,,,
132,#CSO2_ITEM_NAME_GILBOASNAKE,gilboasnake,default,item,weapon,rifle,,,,,,,,,,,,,,,,,,,
133,#CSO2_ITEM_NAME_DP12,dp12,default,item,weapon,shotgun,,,,,,,,,,,,,,,,,,,
134,#CSO2_ITEM_NAME_c4,ballantines,default,item,weapon,equip,,,,,,,,,,,,,,,,,,,
135,#CSO2_ITEM_NAME_triplebarrel,triplebarrel,default,item,weapon,shotgun,,,,,,,,,,,,,,,,,,,
136,#CSO2_ITEM_NAME_candlexmas,candlexmas,default,item,weapon,knife,,,,,,,,,,,,,,,,,,,
137,#CSO2_ITEM_NAME_m3dragon,m3dragon,default,item,weapon,shotgun,,,,,,,,,,,,,,,,,,,
138,#CSO2_ITEM_NAME_qjy88,qjy88,default,item,weapon,mach,,,,,,,,,,,,,,,,,,,
139,#CSO2_ITEM_NAME_m16a4m203,m16a4m203,default,item,weapon,rifle,,,,,,,,,,,,,,,,,,,
140,#CSO2_ITEM_NAME_galilsniper,galilsniper,default,item,weapon,snip,,,,,,,,,,,,,,,,,,,
141,#CSO2_ITEM_NAME_svt40,svt40,default,item,weapon,rifle,,,,,,,,,,,,,,,,,,,
142,#CSO2_ITEM_NAME_mosinnagant,mosinnagant,default,item,weapon,rifle,,,,,,,,,,,,,,,,,,,
143,#CSO2_ITEM_NAME_xm8carbine,xm8carbine,default,item,weapon,rifle,,,,,,,,,,,,,,,,,,,
144,#CSO2_ITEM_NAME_hk416c,hk416c,default,item,weapon,smg,,,,,,,,,,,,,,,,,,,
145,#CSO2_ITEM_NAME_m27iar,m27iar,default,item,weapon,mach,,,,,,,,,,,,,,,,,,,
146,#CSO2_ITEM_NAME_svd,svd,default,item,weapon,snip,,,,,,,,,,,,,,,,,,,
147,#CSO2_ITEM_NAME_tmpmelt,tmpmelt,default,item,weapon,smg,,,,,,,,,,,,,,,,,,,
148,#CSO2_ITEM_NAME_beowulf,50beowulf,default,item,weapon,rifle,,,,,,,,,,,,,,,,,,,
149,#CSO2_ITEM_NAME_kukriknife,kukriknife,default,item,weapon,knife,,,,,,,,,,,,,,,,,,,
150,#CSO2_ITEM_NAME_m99railgun,m99railgun,default,item,weapon,snip,,,,,,,,,,,,,,,,,,,
151,#CSO2_ITEM_NAME_m3grease,m3grease,default,item,weapon,smg,,,,,,,,,,,,,,,,,,,
152,#CSO2_ITEM_NAME_thompson,thompson,default,item,weapon,smg,,,,,,,,,,,,,,,,,,,
153,#CSO2_ITEM_NAME_bar,bar,default,item,weapon,mach,,,,,,,,,,,,,,,,,,,
155,#CSO2_ITEM_NAME_t91,t91,default,item,weapon,rifle,,,,,,,,,,,,,,,,,,,
156,#CSO2_ITEM_NAME_xt97,xt97,default,item,weapon,rifle,,,,,,,,,,,,,,,,,,,
157,#CSO2_ITEM_NAME_akmphoenix,akmphoenix,default,item,weapon,rifle,,,,,,,,,,,,,,,,,,,
158,#CSO2_ITEM_NAME_tomahawkss,tomahawkss,default,item,weapon,knife,,,,,,,,,,,,,,,,,,,
159,#CSO2_ITEM_NAME_m60steam,m60steam,default,item,weapon,mach,,,,,,,,,,,,,,,,,,,
160,#CSO2_ITEM_NAME_awmgaussplus,awmgaussplus,default,item,weapon,snip,,,,,,,,,,,,,,,,,,,
161,#CSO2_ITEM_NAME_mk18pulse,mk18pulse,default,item,weapon,rifle,,,,,,,,,,,,,,,,,,,
162,#CSO2_ITEM_NAME_tmpmeltplus,tmpmeltplus,default,item,weapon,smg,,,,,,,,,,,,,,,,,,,
163,#CSO2_ITEM_NAME_m99railgunplus,m99railgunplus,default,item,weapon,snip,,,,,,,,,,,,,,,,,,,
1001,#CSO2_ITEM_NAME_Leet,leet,default,item,class,class,,,,,,,,,,,,,,,,,,,
1002,#CSO2_ITEM_NAME_Arctic,arctic,default,item,class,class,,,,,,,,,,,,,,,,,,,
1003,#CSO2_ITEM_NAME_GIGN,gign,default,item,class,class,,,,,,,,,,,,,,,,,,,
1004,#CSO2_ITEM_NAME_SAS,sas,default,item,class,class,,,,,,,,,,,,,,,,,,,
1005,#CSO2_ITEM_NAME_LISA,lisa,default,item,class,class,,,,,,,,,,,,,,,,,,,
1006,#CSO2_ITEM_NAME_MILA,mila,default,item,class,class,,,,,,,,,,,,,,,,,,,
1007,#CSO2_ITEM_NAME_LISA01,lisa01,default,item,class,class,,,,,,,,,,,,,,,,,,,
1008,#CSO2_ITEM_NAME_MILA01,mila01,default,item,class,class,,,,,,,,,,,,,,,,,,,
1009,#CSO2_ITEM_NAME_MICHAEL,michael,default,item,class,class,,,,,,,,,,,,,,,,,,,
1010,#CSO2_ITEM_NAME_Karachenko,karachenko,default,item,class,class,,,,,,,,,,,,,,,,,,,
1011,#CSO2_ITEM_NAME_Leet01,leet01,default,item,class,class,,,,,,,,,,,,,,,,,,,
1012,#CSO2_ITEM_NAME_choi,choi,default,item,class,class,,,,,,,,,,,,,,,,,,,
1013,#CSO2_ITEM_NAME_yuri,yuri,default,item,class,class,,,,,,,,,,,,,,,,,,,
1014,#CSO2_ITEM_NAME_lincoln,lincoln,default,item,class,class,,,,,,,,,,,,,,,,,,,
1015,#CSO2_ITEM_NAME_mao,mao,default,item,class,class,,,,,,,,,,,,,,,,,,,
1016,#CSO2_ITEM_NAME_marie,mari,default,item,class,class,,,,,,,,,,,,,,,,,,,
1017,#CSO2_ITEM_NAME_natalie,natary,default,item,class,class,,,,,,,,,,,,,,,,,,,
1018,#CSO2_ITEM_NAME_707,707,default,item,class,class,,,,,,,,,,,,,,,,,,,
1019,#CSO2_ITEM_NAME_ara,ara,default,item,class,class,,,,,,,,,,,,,,,,,,,
1020,#CSO2_ITEM_NAME_choi01,choi01,default,item,class,class,,,,,,,,,,,,,,,,,,,
1021,#CSO2_ITEM_NAME_yuri01,yuri01,default,item,class,class,,,,,,,,,,,,,,,,,,,
1022,#CSO2_ITEM_NAME_emma,emma,default,item,class,class,,,,,,,,,,,,,,,,,,,
1023,#CSO2_ITEM_NAME_tammy,tammy,default,item,class,class,,,,,,,,,,,,,,,,,,,
1024,#CSO2_ITEM_NAME_CARRIE,carrie,default,item,class,class,,,,,,,,,,,,,,,,,,,
1025,#CSO2_ITEM_NAME_VIPER,viper,default,item,class,class,,,,,,,,,,,,,,,,,,,
1026,#CSO2_ITEM_NAME_marie01,mari01,default,item,class,class,,,,,,,,,,,,,,,,,,,
1027,#CSO2_ITEM_NAME_natalie01,natary01,default,item,class,class,,,,,,,,,,,,,,,,,,,
1028,#CSO2_ITEM_NAME_heather,heather,default,item,class,class,,,,,,,,,,,,,,,,,,,
1029,#CSO2_ITEM_NAME_sonya,sonya,default,item,class,class,,,,,,,,,,,,,,,,,,,
1030,#CSO2_ITEM_NAME_kwan,kwan,default,item,class,class,,,,,,,,,,,,,,,,,,,
1031,#CSO2_ITEM_NAME_hasan,hasan,default,item,class,class,,,,,,,,,,,,,,,,,,,
1032,#CSO2_ITEM_NAME_SAS01,sas01,default,item,class,class,,,,,,,,,,,,,,,,,,,
1033,#CSO2_ITEM_NAME_LISA02SWIM,lisa02swim,default,item,class,class,,,,,,,,,,,,,,,,,,,
1034,#CSO2_ITEM_NAME_MILA02SWIM,mila02swim,default,item,class,class,,,,,,,,,,,,,,,,,,,
1035,#CSO2_ITEM_NAME_marie_color01,mari,color01,item,class,class,,,,,,,,,,,,,,,,,,,
1036,#CSO2_ITEM_NAME_tammy_color01,tammy,color01,item,class,class,,,,,,,,,,,,,,,,,,,
1037,#CSO2_ITEM_NAME_MIU,miu,default,item,class,class,,,,,,,,,,,,,,,,,,,
1038,#CSO2_ITEM_NAME_athena,athena,default,item,class,class,,,,,,,,,,,,,,,,,,,
1039,#CSO2_ITEM_NAME_gsg,gsg,default,item,class,class,,,,,,,,,,,,,,,,,,,
1040,#CSO2_ITEM_NAME_phoenix,phoenix,default,item,class,class,,,,,,,,,,,,,,,,,,,
1041,#CSO2_ITEM_NAME_lisa03xmas,lisa03xmas,default,item,class,class,,,,,,,,,,,,,,,,,,,
1042,#CSO2_ITEM_NAME_mila03xmas,mila03xmas,default,item,class,class,,,,,,,,,,,,,,,,,,,
1043,#CSO2_ITEM_NAME_helga,helga,default,item,class,class,,,,,,,,,,,,,,,,,,,
1044,#CSO2_ITEM_NAME_white,white,default,item,class,class,,,,,,,,,,,,,,,,,,,
1045,#CSO2_ITEM_NAME_sas02,sas02,default,item,class,class,,,,,,,,,,,,,,,,,,,
1046,#CSO2_ITEM_NAME_arctic02,arctic01,default,item,class,class,,,,,,,,,,,,,,,,,,,
1047,#CSO2_ITEM_NAME_EMMA02SWIM,emma02swim,default,item,class,class,,,,,,,,,,,,,,,,,,,
1048,#CSO2_ITEM_NAME_TAMMY02SWIM,tammy02swim,default,item,class,class,,,,,,,,,,,,,,,,,,,
1049,#CSO2_ITEM_NAME_kenji,kenji,default,item,class,class,,,,,,,,,,,,,,,,,,,
1050,#CSO2_ITEM_NAME_joe,joe,default,item,class,class,,,,,,,,,,,,,,,,,,,
1051,#CSO2_ITEM_NAME_carrie01,carrie01,default,item,class,class,,,,,,,,,,,,,,,,,,,
1052,#CSO2_ITEM_NAME_viper01,viper01,default,item,class,class,,,,,,,,,,,,,,,,,,,
1053,#CSO2_ITEM_NAME_miu01,miu01,default,item,class,class,,,,,,,,,,,,,,,,,,,
1054,#CSO2_ITEM_NAME_athena01,athena01,default,item,class,class,,,,,,,,,,,,,,,,,,,
1055,#CSO2_ITEM_NAME_choi02,choi02,default,item,class,class,,,,,,,,,,,,,,,,,,,
1056,#CSO2_ITEM_NAME_yuri02,yuri02,default,item,class,class,,,,,,,,,,,,,,,,,,,
1057,#CSO2_ITEM_NAME_helga01xmas,helga01xmas,default,item,class,class,,,,,,,,,,,,,,,,,,,
1058,#CSO2_ITEM_NAME_white01xmas,white01xmas,default,item,class,class,,,,,,,,,,,,,,,,,,,
1990,#CSO2_ITEM_NAME_evy,evy,default,item,class,class,,,,,,,,,,,,,,,,,,,
1991,#CSO2_ITEM_NAME_evy2,evy2,default,item,class,class,,,,,,,,,,,,,,,,,,,
1992,#CSO2_ITEM_NAME_hurk,hurk,default,item,class,class,,,,,,,,,,,,,,,,,,,
1993,#CSO2_ITEM_NAME_hurk2,hurk2,default,item,class,class,,,,,,,,,,,,,,,,,,,
1994,#CSO2_ITEM_NAME_kay,kay,default,item,class,class,,,,,,,,,,,,,,,,,,,
1995,#CSO2_ITEM_NAME_kay2,kay2,default,item,class,class,,,,,,,,,,,,,,,,,,,
1996,#CSO2_ITEM_NAME_lynn,lynn,default,item,class,class,,,,,,,,,,,,,,,,,,,
2001,#CSO2_ITEM_NAME_NICKNAMECHANGE,nicknamechange,default,nicknamechange,item,item,,,,,,,,,,,,,,,,,,,
2002,#CSO2_ITEM_NAME_NICKNAMECHANGE2,nicknamechange,default,nicknamechange,item,item,,,,,,,,,,,,,,,,,,,
2003,#CSO2_ITEM_NAME_PLAYERKILLDEATHRESET,playerkilldeathreset,default,playerkilldeathreset,item,item,,,,,,,,,,,,,,,,,,,
2004,#CSO2_ITEM_NAME_PLAYERRECORDRESET,playerrecordreset,default,playerrecordreset,item,item,,,,,,,,,,,,,,,,,,,
2005,#CSO2_ITEM_NAME_POINTBONUS,pointbonus,default,item,item,item,,,,,,,,,,,,,,,,,,,
2006,#CSO2_ITEM_NAME_EXPBONUS,expbonus,default,item,item,item,,,,,,,,,,,,,,,,,,,
2007,#CSO2_ITEM_NAME_POINTEXPBONUS,pointexpbonus,default,item,item,item,,,,,,,,,,,,,,,,,,,
2008,#CSO2_ITEM_NAME_POINTLOTTO,pointlottery,default,pointlottery,item,item,,,,,,,,,,,,,,,,,,,
2009,#CSO2_ITEM_NAME_SHORTEN_RESPAWNTIME,shortenRespawntime,default,shortenRespawntime,item,item,,,,,,,,,,,,,,,,,,,
2010,#CSO2_ITEM_NAME_MEGAPHONE_CHANNEL,megaphonechannel,default,megaphone,item,item,,,,,,,,,,,,,,,,,,,
2011,#CSO2_ITEM_NAME_MEGAPHONE_SERVER,megaphoneserver,default,megaphone,item,item,,,,,,,,,,,,,,,,,,,
2012,#CSO2_ITEM_NAME_MEGAPHONE_GLOBAL,megaphoneglobal,default,megaphone,item,item,,,,,,,,,,,,,,,,,,,
2013,#CSO2_ITEM_NAME_POINTLOTTO_EVENT,pointlotteryevent,default,pointlotteryevent,item,item,,,,,,,,,,,,,,,,,,,
2014,#CSO2_ITEM_NAME_POINTLOTTO_GOLD,pointlotterygold,default,pointlotterygold,item,item,,,,,,,,,,,,,,,,,,,
2015,#CSO2_ITEM_NAME_MEGAPHONE_GLOBAL_EVENT,megaphoneglobalevent,default,megaphone,item,item,,,,,,,,,,,,,,,,,,,
2016,#CSO2_ITEM_NAME_HIDEMODE_EXTEND,addmachineslot,default,addmachineslot,item,item,,,,,,,,,,,,,,,,,,,
2017,#CSO2_ITEM_NAME_HIDEMODE_ACTION_001,propaction01,default,propaction,item,item,,,,,,,,,,,,,,,,,,,
2018,#CSO2_ITEM_NAME_POINTLOTTO_MILA,pointlotterymila,default,pointlotterymila,item,item,,,,,,,,,,,,,,,,,,,
2019,#CSO2_ITEM_NAME_INSTANT_RESPAWN,instantrespawn,default,skill,item,skill,,,,,,,,,,,,,,,,,,,
