;// 힌트,,,,,,,,,
;// 인덱스,// 우선순위,// 힌트 메시지,,,,,,,
23,22,#CSO2_INGAME_HINT_TR_KILLED_WHILE_HIDING,,,,,,,
24,16,#CSO2_INGAME_HINT_GOT_RIVAL,,,,,,,
25,25,#CSO2_INGAME_HINT_PIGMODE_ATTACK_WITH_VAMP,,,,,,,
26,26,#CSO2_INGAME_HINT_PIGMODE_YOU_ARE_PIG_NOW,,,,,,,
27,27,#CSO2_INGAME_HINT_HEROES_EVY,,,,,,,
28,28,#CSO2_INGAME_HINT_HEROES_HURK,,,,,,,
29,29,#CSO2_INGAME_HINT_HEROES_KAY,,,,,,,
30,30,#CSO2_INGAME_HINT_HEROES_LYNN,,,,,,,
31,31,#CSO2_INGAME_HINT_HEROES_ORIGINAL,,,,,,,
32,32,#CSO2_INGAME_HINT_DUEL_PLAY,,,,,,,
33,30,#CSO2_INGAME_HINT_ZC_NOT_ENOUGH_VIRUS,,,,,,,
34,30,#CSO2_INGAME_HINT_ZC_COOLTIME,,,,,,,
35,30,#CSO2_INGAME_HINT_ZC_CANT_CONSTRUCT,,,,,,,
36,30,#CSO2_INGAME_HINT_ZC_EXCEED_MAX_UPGRADE_LEVEL,,,,,,,
37,30,#CSO2_INGAME_HINT_ZC_APPROACH_ZOMBIE_MASTER,,,,,,,
38,30,#CSO2_INGAME_HINT_ZC_PLATED_VACCINE,,,,,,,
39,30,#CSO2_INGAME_HINT_ZC_EXCEED_MAX_UNIT_COUNT,,,,,,,
40,30,#CSO2_INGAME_HINT_YOU_ARE_IN_TARGET_VACCINE_ZONE,,,,,,,
41,30,#CSO2_INGAME_HINT_YOU_HAVE_THE_VACCINE,,,,,,,
42,30,#CSO2_INGAME_HINT_FOUND_THE_VACCINE,,,,,,,
43,2,#CSO2_INGAME_HINT_ZC_CANNOTMOVE_BY_TRAP,,,,,,,
44,2,#CSO2_INGAME_HINT_ZC_DAMAGED_BY_FIRETRAP,,,,,,,
45,2,#CSO2_INGAME_HINT_ZC_TOO_CLOSE_FROM_SUPPLYDEPOT,,,,,,,
46,2,#CSO2_INGAME_HINT_ZC_CANNOT_CREATE_TRAP_BY_MAXCOUNT,,,,,,,
47,2,#CSO2_INGAME_HINT_ZC_SPRINGOUT_BY_SPRINGTRAP,,,,,,,
48,2,#CSO2_INGAME_HINT_ZC_ANOTHER_PLAYER_OPEN_THE_VALVE,,,,,,,
50,2,#CSO2_INGAME_HINT_HIDE_FREEZING_ON,,,,,,,
51,2,#CSO2_INGAME_HINT_HIDE_FREEZING_OFF,,,,,,,
52,10,#CSO2_INGAME_HINT_HIDE_FREEWATCHING_ON,,,,,,,
53,2,#CSO2_INGAME_HINT_HIDE_FREEWATCHING_OFF,,,,,,,
54,2,#CSO2_ZS_AIR_STRIKE_IN_GLOBAL_COOL_TIME,,,,,,,
55,2,#CSO2_INGAME_HINT_HIDE_ITEM_HIDE_ON,잠시 동안 적들에게 보이지 않습니다.,,,,,,
56,2,#CSO2_INGAME_HINT_HIDE_ITEM_SPEEDUP_ON,잠시 동안 움직임이 빨라집니다.,,,,,,
57,2,#CSO2_INGAME_HINT_HIDE_ITEM_SPEEDUP_OFF,움직임이 되돌아왔습니다.,,,,,,
58,2,#CSO2_INGAME_HINT_HIDE_ITEM_HPUP_ON,HP가 증가했습니다.,,,,,,
59,2,#CSO2_INGAME_HINT_HIDE_ITEM_TRAP_00,덫을 밟아 몸을 움직일 수 없습니다.,,,,,,
60,2,#CSO2_INGAME_HINT_HIDE_ITEM_WEBTRAP_00,거미줄에 걸려 제대로 움직일 수 없습니다.,,,,,,
61,2,#CSO2_INGAME_HINT_HIDE_ITEM_MOTIONSENSOR_IN,모션센서 영향권에 진입했습니다. ,,,,,,
62,2,#CSO2_INGAME_HINT_HIDE_ITEM_MOTIONSENSOR_OUT,모션센서 영향권에서 벗어났습니다.,,,,,,
63,2,#CSO2_INGAME_HINT_HIDE_ITEM_USE_ERROR,이미 사용중입니다.,,,,,,
64,20,#CSO2_INGAME_HINT_HIDE_ITEM_MOTIONSENSOR_LIMIT,모션센서 영향으로 훔쳐보기를 할 수 없습니다.,,,,,,
65,33,#CSO2_MODE_ZC2_MONEY_LIMIT_REACHED,,,,,,,
66,34,#CSO2_MODE_ZC2_ZOMBIE_UPGRADE_COOLTIME,업그레이드 쿨타임입니다.,,,,,,
67,35,#CSO2_INGAME_INVEN_FULL,,,,,,,

