;È®·üÄ«µåid(itemid),È®·üÄ«µå ¸®¿öµå Å¸ÀÌÆ²,È®·üÄ«µå ¸®¿öµå ¼­ºêÅ¸ÀÌÆ²,±¸¼ºÇ° id,±¸¼ºÇ° °³¼ö,±¸¼ºÇ° ±â°£,ÀÏÁ¾ÀÇ È®·ü,Ä«µå´©Àû¼ö·®¿¡ µû¶ó weight°ª Áõ°¡½ÃÅ³ ¾ÆÀÌÅÛ ¿©ºÎ,Ä«µå´©Àû¼ö·® ±¸°£º° °¡»êÁ¡(1Àå~10Àå),Ä«µå´©Àû¼ö·® ±¸°£º° °¡»êÁ¡(11Àå~20Àå),Ä«µå´©Àû¼ö·® ±¸°£º° °¡»êÁ¡(21Àå~30Àå),Ä«µå´©Àû¼ö·® ±¸°£º° °¡»êÁ¡(31Àå~40Àå),Ä«µå´©Àû¼ö·® ±¸°£º° °¡»êÁ¡(41Àå~50Àå),¾ÆÀÌÅÛ º° Áßº¹¹æÁö ¾ÆÀÌÅÛ(²ÎÅÛ),,
60004,#CSO2_ITEM_CARD_REWARD_NAME_EMMA,#CSO2_ITEM_CARD_REWARD_DESC_EMMA,5044,1,0,5,0,100,100,100,100,100,2014,1,0
60004,#CSO2_ITEM_CARD_REWARD_NAME_EMMA,#CSO2_ITEM_CARD_REWARD_DESC_EMMA,5057,1,0,5,0,100,100,100,100,100,2014,1,0
60004,#CSO2_ITEM_CARD_REWARD_NAME_EMMA,#CSO2_ITEM_CARD_REWARD_DESC_EMMA,8004,1,0,9,0,100,100,100,100,100,2014,1,0
60004,#CSO2_ITEM_CARD_REWARD_NAME_EMMA,#CSO2_ITEM_CARD_REWARD_DESC_EMMA,8000,1,0,9,0,100,100,100,100,100,2014,1,0
60004,#CSO2_ITEM_CARD_REWARD_NAME_EMMA,#CSO2_ITEM_CARD_REWARD_DESC_EMMA,8002,1,0,9,0,100,100,100,100,100,2014,1,0
60004,#CSO2_ITEM_CARD_REWARD_NAME_EMMA,#CSO2_ITEM_CARD_REWARD_DESC_EMMA,2008,1,0,9,0,100,100,100,100,100,2014,1,0
60004,#CSO2_ITEM_CARD_REWARD_NAME_EMMA,#CSO2_ITEM_CARD_REWARD_DESC_EMMA,2013,5,0,10,0,100,100,100,100,100,2014,1,0
60004,#CSO2_ITEM_CARD_REWARD_NAME_EMMA,#CSO2_ITEM_CARD_REWARD_DESC_EMMA,2019,1,0,10,0,100,100,100,100,100,2014,1,0
60004,#CSO2_ITEM_CARD_REWARD_NAME_EMMA,#CSO2_ITEM_CARD_REWARD_DESC_EMMA,2023,1,1,10,0,100,100,100,100,100,2014,1,0
60004,#CSO2_ITEM_CARD_REWARD_NAME_EMMA,#CSO2_ITEM_CARD_REWARD_DESC_EMMA,2021,1,1,10,0,100,100,100,100,100,2014,1,0
60004,#CSO2_ITEM_CARD_REWARD_NAME_EMMA,#CSO2_ITEM_CARD_REWARD_DESC_EMMA,2011,1,0,11,0,100,100,100,100,100,2014,1,0
60004,#CSO2_ITEM_CARD_REWARD_NAME_EMMA,#CSO2_ITEM_CARD_REWARD_DESC_EMMA,2014,1,0,10,0,100,100,100,100,100,2014,1,0

