;//스킬인덱스,//스킬이름,//경험치 플러스,//경험치퍼센트,//경험치즉시지급,//포인트 플러스,//포인트 퍼센트,//포인트 즉시지급,//마스터,//숙련포인트,//아이콘,// 헬프텍스트1,// 헬프텍스트2,// 설명 텍스트,// 특수스킬,// 1레벨 필요 SP,// 2레벨 필요 SP,// 3레벨 필요 SP,// 4레벨 필요 SP,// 5레벨 필요 SP
12,#CSO2_UI_MASTERY_SKILL_NAME_ADD_EXP_4P,0,4,0,0,0,0,0,0,0,#CSO2_UI_MASTERY_SKILL_NAME_ADD_EXP_5,#CSO2_UI_MASTERY_SKILL_NAME_ADD_EXP_5,,,,0,0,0,0
13,#CSO2_UI_MASTERY_SKILL_NAME_ADD_EXP_6P,0,6,0,0,0,0,0,0,0,#CSO2_UI_MASTERY_SKILL_NAME_ADD_EXP_5,#CSO2_UI_MASTERY_SKILL_NAME_ADD_EXP_5,,,,0,0,0,0
14,#CSO2_UI_MASTERY_SKILL_NAME_ADD_EXP_8P,0,8,0,0,0,0,0,0,0,#CSO2_UI_MASTERY_SKILL_NAME_ADD_EXP_5,#CSO2_UI_MASTERY_SKILL_NAME_ADD_EXP_5,,,,0,0,0,0
15,#CSO2_UI_MASTERY_SKILL_NAME_ADD_EXP_10P,0,10,0,0,0,0,0,0,0,#CSO2_UI_MASTERY_SKILL_NAME_ADD_EXP_5,#CSO2_UI_MASTERY_SKILL_NAME_ADD_EXP_5,,,,0,0,0,0
16,#CSO2_UI_MASTERY_SKILL_NAME_GET_EXP_1000,0,0,1000,0,0,0,0,0,0,#CSO2_UI_MASTERY_SKILL_NAME_ADD_EXP_5,#CSO2_UI_MASTERY_SKILL_NAME_ADD_EXP_5,,,,0,0,0,0
17,#CSO2_UI_MASTERY_SKILL_NAME_GET_EXP_2000,0,0,2000,0,0,0,0,0,0,#CSO2_UI_MASTERY_SKILL_NAME_ADD_EXP_5,#CSO2_UI_MASTERY_SKILL_NAME_ADD_EXP_5,,,,0,0,0,0
18,#CSO2_UI_MASTERY_SKILL_NAME_GET_EXP_3000,0,0,3000,0,0,0,0,0,0,#CSO2_UI_MASTERY_SKILL_NAME_ADD_EXP_5,#CSO2_UI_MASTERY_SKILL_NAME_ADD_EXP_5,,,,0,0,0,0
19,#CSO2_UI_MASTERY_SKILL_NAME_GET_EXP_4000,0,0,4000,0,0,0,0,0,0,#CSO2_UI_MASTERY_SKILL_NAME_ADD_EXP_5,#CSO2_UI_MASTERY_SKILL_NAME_ADD_EXP_5,,,,0,0,0,0
20,#CSO2_UI_MASTERY_SKILL_NAME_GET_EXP_5000,0,0,5000,0,0,0,0,0,0,#CSO2_UI_MASTERY_SKILL_NAME_ADD_EXP_5,#CSO2_UI_MASTERY_SKILL_NAME_ADD_EXP_5,,,,0,0,0,0
21,#CSO2_UI_MASTERY_SKILL_NAME_GET_EXP_6000,0,0,6000,0,0,0,0,0,0,#CSO2_UI_MASTERY_SKILL_NAME_ADD_EXP_5,#CSO2_UI_MASTERY_SKILL_NAME_ADD_EXP_5,,,,0,0,0,0
22,#CSO2_UI_MASTERY_SKILL_NAME_GET_EXP_7000,0,0,7000,0,0,0,0,0,0,#CSO2_UI_MASTERY_SKILL_NAME_ADD_EXP_5,#CSO2_UI_MASTERY_SKILL_NAME_ADD_EXP_5,,,,0,0,0,0
23,#CSO2_UI_MASTERY_SKILL_NAME_GET_EXP_8000,0,0,8000,0,0,0,0,0,0,#CSO2_UI_MASTERY_SKILL_NAME_ADD_EXP_5,#CSO2_UI_MASTERY_SKILL_NAME_ADD_EXP_5,,,,0,0,0,0
24,#CSO2_UI_MASTERY_SKILL_NAME_GET_EXP_9000,0,0,9000,0,0,0,0,0,0,#CSO2_UI_MASTERY_SKILL_NAME_ADD_EXP_5,#CSO2_UI_MASTERY_SKILL_NAME_ADD_EXP_5,,,,0,0,0,0
25,#CSO2_UI_MASTERY_SKILL_NAME_GET_EXP_10000,0,0,10000,0,0,0,0,0,0,#CSO2_UI_MASTERY_SKILL_NAME_ADD_EXP_5,#CSO2_UI_MASTERY_SKILL_NAME_ADD_EXP_5,,,,0,0,0,0
26,#CSO2_UI_MASTERY_SKILL_NAME_ADD_POINT_5,0,0,0,5,0,0,0,0,0,#CSO2_UI_MASTERY_SKILL_NAME_ADD_EXP_5,#CSO2_UI_MASTERY_SKILL_NAME_ADD_EXP_5,,,,0,0,0,0
27,#CSO2_UI_MASTERY_SKILL_NAME_ADD_POINT_10,0,0,0,10,0,0,0,0,0,#CSO2_UI_MASTERY_SKILL_NAME_ADD_EXP_5,#CSO2_UI_MASTERY_SKILL_NAME_ADD_EXP_5,,,,0,0,0,0
28,#CSO2_UI_MASTERY_SKILL_NAME_ADD_POINT_15,0,0,0,15,0,0,0,0,0,#CSO2_UI_MASTERY_SKILL_NAME_ADD_EXP_5,#CSO2_UI_MASTERY_SKILL_NAME_ADD_EXP_5,,,,0,0,0,0
29,#CSO2_UI_MASTERY_SKILL_NAME_ADD_POINT_20,0,0,0,20,0,0,0,0,0,#CSO2_UI_MASTERY_SKILL_NAME_ADD_EXP_5,#CSO2_UI_MASTERY_SKILL_NAME_ADD_EXP_5,,,,0,0,0,0
30,#CSO2_UI_MASTERY_SKILL_NAME_ADD_POINT_25,0,0,0,25,0,0,0,0,0,#CSO2_UI_MASTERY_SKILL_NAME_ADD_EXP_5,#CSO2_UI_MASTERY_SKILL_NAME_ADD_EXP_5,,,,0,0,0,0
31,#CSO2_UI_MASTERY_SKILL_NAME_ADD_POINT_30,0,0,0,30,0,0,0,0,0,#CSO2_UI_MASTERY_SKILL_NAME_ADD_EXP_5,#CSO2_UI_MASTERY_SKILL_NAME_ADD_EXP_5,,,,0,0,0,0
32,#CSO2_UI_MASTERY_SKILL_NAME_ADD_POINT_35,0,0,0,35,0,0,0,0,0,#CSO2_UI_MASTERY_SKILL_NAME_ADD_EXP_5,#CSO2_UI_MASTERY_SKILL_NAME_ADD_EXP_5,,,,0,0,0,0
33,#CSO2_UI_MASTERY_SKILL_NAME_ADD_POINT_40,0,0,0,40,0,0,0,0,0,#CSO2_UI_MASTERY_SKILL_NAME_ADD_EXP_5,#CSO2_UI_MASTERY_SKILL_NAME_ADD_EXP_5,,,,0,0,0,0
34,#CSO2_UI_MASTERY_SKILL_NAME_ADD_POINT_45,0,0,0,45,0,0,0,0,0,#CSO2_UI_MASTERY_SKILL_NAME_ADD_EXP_5,#CSO2_UI_MASTERY_SKILL_NAME_ADD_EXP_5,,,,0,0,0,0
35,#CSO2_UI_MASTERY_SKILL_NAME_ADD_POINT_50,0,0,0,50,0,0,0,0,0,#CSO2_UI_MASTERY_SKILL_NAME_ADD_EXP_5,#CSO2_UI_MASTERY_SKILL_NAME_ADD_EXP_5,,,,0,0,0,0
36,#CSO2_UI_MASTERY_SKILL_NAME_ADD_POINT_2P,0,0,0,0,2,0,0,0,0,#CSO2_UI_MASTERY_SKILL_NAME_ADD_EXP_5,#CSO2_UI_MASTERY_SKILL_NAME_ADD_EXP_5,,,,0,0,0,0
37,#CSO2_UI_MASTERY_SKILL_NAME_ADD_POINT_4P,0,0,0,0,4,0,0,0,0,#CSO2_UI_MASTERY_SKILL_NAME_ADD_EXP_5,#CSO2_UI_MASTERY_SKILL_NAME_ADD_EXP_5,,,,0,0,0,0
38,#CSO2_UI_MASTERY_SKILL_NAME_ADD_POINT_6P,0,0,0,0,6,0,0,0,0,#CSO2_UI_MASTERY_SKILL_NAME_ADD_EXP_5,#CSO2_UI_MASTERY_SKILL_NAME_ADD_EXP_5,,,,0,0,0,0
39,#CSO2_UI_MASTERY_SKILL_NAME_ADD_POINT_8P,0,0,0,0,8,0,0,0,0,#CSO2_UI_MASTERY_SKILL_NAME_ADD_EXP_5,#CSO2_UI_MASTERY_SKILL_NAME_ADD_EXP_5,,,,0,0,0,0
40,#CSO2_UI_MASTERY_SKILL_NAME_ADD_POINT_10P,0,0,0,0,10,0,0,0,0,#CSO2_UI_MASTERY_SKILL_NAME_ADD_EXP_5,#CSO2_UI_MASTERY_SKILL_NAME_ADD_EXP_5,,,,0,0,0,0
41,#CSO2_UI_MASTERY_SKILL_NAME_GET_POINT_1000,0,0,0,0,0,1000,0,0,0,#CSO2_UI_MASTERY_SKILL_NAME_ADD_EXP_5,#CSO2_UI_MASTERY_SKILL_NAME_ADD_EXP_5,,,,0,0,0,0
42,#CSO2_UI_MASTERY_SKILL_NAME_GET_POINT_2000,0,0,0,0,0,2000,0,0,0,#CSO2_UI_MASTERY_SKILL_NAME_ADD_EXP_5,#CSO2_UI_MASTERY_SKILL_NAME_ADD_EXP_5,,,,0,0,0,0
43,#CSO2_UI_MASTERY_SKILL_NAME_GET_POINT_3000,0,0,0,0,0,3000,0,0,0,#CSO2_UI_MASTERY_SKILL_NAME_ADD_EXP_5,#CSO2_UI_MASTERY_SKILL_NAME_ADD_EXP_5,,,,0,0,0,0
44,#CSO2_UI_MASTERY_SKILL_NAME_GET_POINT_4000,0,0,0,0,0,4000,0,0,0,#CSO2_UI_MASTERY_SKILL_NAME_ADD_EXP_5,#CSO2_UI_MASTERY_SKILL_NAME_ADD_EXP_5,,,,0,0,0,0
45,#CSO2_UI_MASTERY_SKILL_NAME_GET_POINT_5000,0,0,0,0,0,5000,0,0,0,#CSO2_UI_MASTERY_SKILL_NAME_ADD_EXP_5,#CSO2_UI_MASTERY_SKILL_NAME_ADD_EXP_5,,,,0,0,0,0
46,#CSO2_UI_MASTERY_SKILL_NAME_GET_POINT_6000,0,0,0,0,0,6000,0,0,0,#CSO2_UI_MASTERY_SKILL_NAME_ADD_EXP_5,#CSO2_UI_MASTERY_SKILL_NAME_ADD_EXP_5,,,,0,0,0,0
47,#CSO2_UI_MASTERY_SKILL_NAME_GET_POINT_7000,0,0,0,0,0,7000,0,0,0,#CSO2_UI_MASTERY_SKILL_NAME_ADD_EXP_5,#CSO2_UI_MASTERY_SKILL_NAME_ADD_EXP_5,,,,0,0,0,0
48,#CSO2_UI_MASTERY_SKILL_NAME_GET_POINT_8000,0,0,0,0,0,8000,0,0,0,#CSO2_UI_MASTERY_SKILL_NAME_ADD_EXP_5,#CSO2_UI_MASTERY_SKILL_NAME_ADD_EXP_5,,,,0,0,0,0
49,#CSO2_UI_MASTERY_SKILL_NAME_GET_POINT_9000,0,0,0,0,0,9000,0,0,0,#CSO2_UI_MASTERY_SKILL_NAME_ADD_EXP_5,#CSO2_UI_MASTERY_SKILL_NAME_ADD_EXP_5,,,,0,0,0,0
50,#CSO2_UI_MASTERY_SKILL_NAME_GET_POINT_10000,0,0,0,0,0,10000,0,0,0,#CSO2_UI_MASTERY_SKILL_NAME_ADD_EXP_5,#CSO2_UI_MASTERY_SKILL_NAME_ADD_EXP_5,,,,0,0,0,0
51,#CSO2_UI_MASTERY_SKILL_NAME_RIFLE_MASTER,0,0,0,0,0,0,1,0,0,#CSO2_UI_MASTERY_SKILL_NAME_ADD_EXP_5,#CSO2_UI_MASTERY_SKILL_NAME_ADD_EXP_5,,,,0,0,0,0
52,#CSO2_UI_MASTERY_SKILL_NAME_SNIPE_MASTER,0,0,0,0,0,0,2,0,0,#CSO2_UI_MASTERY_SKILL_NAME_ADD_EXP_5,#CSO2_UI_MASTERY_SKILL_NAME_ADD_EXP_5,,,,0,0,0,0
53,#CSO2_UI_MASTERY_SKILL_NAME_PISTOL_MASTER,0,0,0,0,0,0,3,0,0,#CSO2_UI_MASTERY_SKILL_NAME_ADD_EXP_5,#CSO2_UI_MASTERY_SKILL_NAME_ADD_EXP_5,,,,0,0,0,0
54,#CSO2_UI_MASTERY_SKILL_NAME_GRAPPLE_MASTER,0,0,0,0,0,0,4,0,0,#CSO2_UI_MASTERY_SKILL_NAME_ADD_EXP_5,#CSO2_UI_MASTERY_SKILL_NAME_ADD_EXP_5,,,,0,0,0,0
55,#CSO2_UI_MASTERY_SKILL_NAME_MALE_MASTER,0,0,0,0,0,0,5,0,0,#CSO2_UI_MASTERY_SKILL_NAME_ADD_EXP_5,#CSO2_UI_MASTERY_SKILL_NAME_ADD_EXP_5,,,,0,0,0,0
56,#CSO2_UI_MASTERY_SKILL_NAME_FEMALE_MASTER,0,0,0,0,0,0,6,0,0,#CSO2_UI_MASTERY_SKILL_NAME_ADD_EXP_5,#CSO2_UI_MASTERY_SKILL_NAME_ADD_EXP_5,,,,0,0,0,0
57,#CSO2_UI_MASTERY_SKILL_NAME_GET_SKILLPOINT_100,0,0,0,0,0,0,0,100,0,#CSO2_UI_MASTERY_SKILL_NAME_ADD_EXP_5,#CSO2_UI_MASTERY_SKILL_NAME_ADD_EXP_5,,,,0,0,0,0
58,#CSO2_UI_MASTERY_SKILL_NAME_GET_SKILLPOINT_200,0,0,0,0,0,0,0,200,0,#CSO2_UI_MASTERY_SKILL_NAME_ADD_EXP_5,#CSO2_UI_MASTERY_SKILL_NAME_ADD_EXP_5,,,,0,0,0,0
59,#CSO2_UI_MASTERY_SKILL_NAME_GET_SKILLPOINT_300,0,0,0,0,0,0,0,300,0,#CSO2_UI_MASTERY_SKILL_NAME_ADD_EXP_5,#CSO2_UI_MASTERY_SKILL_NAME_ADD_EXP_5,,,,0,0,0,0
60,#CSO2_UI_MASTERY_SKILL_NAME_GET_SKILLPOINT_400,0,0,0,0,0,0,0,400,0,#CSO2_UI_MASTERY_SKILL_NAME_ADD_EXP_5,#CSO2_UI_MASTERY_SKILL_NAME_ADD_EXP_5,,,,0,0,0,0
61,#CSO2_UI_MASTERY_SKILL_NAME_GET_SKILLPOINT_500,0,0,0,0,0,0,0,500,0,#CSO2_UI_MASTERY_SKILL_NAME_ADD_EXP_5,#CSO2_UI_MASTERY_SKILL_NAME_ADD_EXP_5,,,,0,0,0,0
62,#CSO2_UI_MASTERY_SKILL_NAME_GET_SKILLPOINT_600,0,0,0,0,0,0,0,600,0,#CSO2_UI_MASTERY_SKILL_NAME_ADD_EXP_5,#CSO2_UI_MASTERY_SKILL_NAME_ADD_EXP_5,,,,0,0,0,0
63,#CSO2_UI_MASTERY_SKILL_NAME_GET_SKILLPOINT_700,0,0,0,0,0,0,0,700,0,#CSO2_UI_MASTERY_SKILL_NAME_ADD_EXP_5,#CSO2_UI_MASTERY_SKILL_NAME_ADD_EXP_5,,,,0,0,0,0
64,#CSO2_UI_MASTERY_SKILL_NAME_GET_SKILLPOINT_800,0,0,0,0,0,0,0,800,0,#CSO2_UI_MASTERY_SKILL_NAME_ADD_EXP_5,#CSO2_UI_MASTERY_SKILL_NAME_ADD_EXP_5,,,,0,0,0,0
65,#CSO2_UI_MASTERY_SKILL_NAME_GET_SKILLPOINT_900,0,0,0,0,0,0,0,900,0,#CSO2_UI_MASTERY_SKILL_NAME_ADD_EXP_5,#CSO2_UI_MASTERY_SKILL_NAME_ADD_EXP_5,,,,0,0,0,0
66,#CSO2_UI_MASTERY_SKILL_NAME_GET_SKILLPOINT_1000,0,0,0,0,0,0,0,1000,0,#CSO2_UI_MASTERY_SKILL_NAME_ADD_EXP_5,#CSO2_UI_MASTERY_SKILL_NAME_ADD_EXP_5,,,,0,0,0,0
67,#CSO2_UI_MASTERY_SKILL_NAME_GET_SKILLPOINT_1100,0,0,0,0,0,0,0,1100,0,#CSO2_UI_MASTERY_SKILL_NAME_ADD_EXP_5,#CSO2_UI_MASTERY_SKILL_NAME_ADD_EXP_5,,,,0,0,0,0
68,#CSO2_UI_MASTERY_SKILL_NAME_GET_SKILLPOINT_1200,0,0,0,0,0,0,0,1200,0,#CSO2_UI_MASTERY_SKILL_NAME_ADD_EXP_5,#CSO2_UI_MASTERY_SKILL_NAME_ADD_EXP_5,,,,0,0,0,0
69,#CSO2_UI_MASTERY_SKILL_NAME_GET_SKILLPOINT_1300,0,0,0,0,0,0,0,1300,0,#CSO2_UI_MASTERY_SKILL_NAME_ADD_EXP_5,#CSO2_UI_MASTERY_SKILL_NAME_ADD_EXP_5,,,,0,0,0,0
70,#CSO2_UI_MASTERY_SKILL_NAME_GET_SKILLPOINT_1400,0,0,0,0,0,0,0,1400,0,#CSO2_UI_MASTERY_SKILL_NAME_ADD_EXP_5,#CSO2_UI_MASTERY_SKILL_NAME_ADD_EXP_5,,,,0,0,0,0
71,#CSO2_UI_MASTERY_SKILL_NAME_GET_SKILLPOINT_1500,0,0,0,0,0,0,0,1500,0,#CSO2_UI_MASTERY_SKILL_NAME_ADD_EXP_5,#CSO2_UI_MASTERY_SKILL_NAME_ADD_EXP_5,,,,0,0,0,0
72,TEST1,10,20,30,40,50,60,70,100,0,#CSO2_UI_MASTERY_SKILL_NAME_ADD_EXP_5,#CSO2_UI_MASTERY_SKILL_NAME_ADD_EXP_5,,,,0,0,0,0
