boxid,boxname,itemid,itemname,value
50029,幸运的帽子补给箱,10063,head_spartan,10
50029,幸运的帽子补给箱,10064,head_realchicken,10
50029,幸运的帽子补给箱,10065,head_horsestatue,10
50029,幸运的帽子补给箱,10066,head_2016monkey,10
50029,幸运的帽子补给箱,10067,head_support2nd,10
50029,幸运的帽子补给箱,10068,head_zchelmet,10
50029,幸运的帽子补给箱,10069,head_frog,10
50029,幸运的帽子补给箱,10070,head_2016spring,10
50029,幸运的帽子补给箱,10071,head_head_chn1year,10
50029,幸运的帽子补给箱,10072,head_head_rokahat,10
50029,幸运的帽子补给箱,10073,head_panda,10
50029,幸运的帽子补给箱,10074,head_nursehat,10
50029,幸运的帽子补给箱,10075,head_hidecam,10
50029,幸运的帽子补给箱,10076,head_stophackkr,10
50029,幸运的帽子补给箱,10077,head_watermelon,10
50029,幸运的帽子补给箱,10078,head_bicorne,10
50029,幸运的帽子补给箱,10079,head_magpie,10
50029,幸运的帽子补给箱,10080,head_tammy01,10
50029,幸运的帽子补给箱,10081,head_mari01,10
50029,幸运的帽子补给箱,10082,head_maxzombie,10
50029,幸运的帽子补给箱,10083,head_lightzombie,10
50029,幸运的帽子补给箱,10084,head_kwanwoo,10
50029,幸运的帽子补给箱,10085,head_zombie_gold,10
50029,幸运的帽子补给箱,10086,head_zombie_silver,10
50029,幸运的帽子补给箱,10087,head_miu,10
50029,幸运的帽子补给箱,10088,head_athena,10
50029,幸运的帽子补给箱,10089,head_zombie,10
50029,幸运的帽子补给箱,10090,head_cowboy,10
50029,幸运的帽子补给箱,10091,head_1111,10
50029,幸运的帽子补给箱,10092,head_1111_silver,10
50029,幸运的帽子补给箱,10093,head_1111_gold,10
50029,幸运的帽子补给箱,10094,head_gstar2016,10
50029,幸运的帽子补给箱,10096,HEAD_mila03xmas,10
50029,幸运的帽子补给箱,10097,HEAD_lisa03xmas,10
50029,幸运的帽子补给箱,10098,HEAD_space,10
50029,幸运的帽子补给箱,10099,HEAD_party,10
50029,幸运的帽子补给箱,10100,head_2017chicken,10
50029,幸运的帽子补给箱,10101,HEAD_choco,10
50029,幸运的帽子补给箱,10102,HEAD_KOR31,10
50029,幸运的帽子补给箱,10103,head_fools01,10
50029,幸运的帽子补给箱,10104,head_bluephoenix ,10
50029,幸运的帽子补给箱,10105,head_miner,10
50029,幸运的帽子补给箱,10106,head_key01,10
50029,幸运的帽子补给箱,10107,head_key18,10
50029,幸运的帽子补给箱,10108,head_key16gauss,10
50029,幸运的帽子补给箱,10109,head_key17xmas2016,10
50029,幸运的帽子补给箱,10110,head_key04amethyst2,10
50029,幸运的帽子补给箱,10111,head_key04watermelon,10
50029,幸运的帽子补给箱,10112,head_key171111,10
50029,幸运的帽子补给箱,10113,head_crow,10
50029,幸运的帽子补给箱,10114,head_arglass,10
50029,幸运的帽子补给箱,10115,head_phobos,10
50029,幸运的帽子补给箱,10116,head_galleriapc_jp,10
50029,幸运的帽子补给箱,10117,head_gtunepc_jp,10
50029,幸运的帽子补给箱,10118,head_giantvr,10
50029,幸运的帽子补给箱,10119,head_carrie01,10
50029,幸运的帽子补给箱,10120,head_viper01,10
50029,幸运的帽子补给箱,10121,head_maple,10
50029,幸运的帽子补给箱,10122,head_oberon,10
50029,幸运的帽子补给箱,10123,HEAD_cakekr4year,10
50029,幸运的帽子补给箱,10124,head_choi02,10
50029,幸运的帽子补给箱,10125,head_yuri02,10
50029,幸运的帽子补给箱,10126,head_dione,10
50029,幸运的帽子补给箱,10127,head_key21,10
50029,幸运的帽子补给箱,10128,head_key22xmas2017,10
50029,幸运的帽子补给箱,10129,head_helga01xmas,10
50029,幸运的帽子补给箱,10130,head_white01xmas,10
50029,幸运的帽子补给箱,10131,head_2018dog,10
50029,幸运的帽子补给箱,10132,head_englishman01,10
50029,幸运的帽子补给箱,10133,head_englishman02,10
50029,幸运的帽子补给箱,2008,POINTLOTTO,40
50029,幸运的帽子补给箱,2014,POINTLOTTO_GOLD,40
50029,幸运的帽子补给箱,2013,POINTLOTTO_EVENT,40
50034,特殊武器箱,163,m99railgunplus,10
50034,特殊武器箱,5354,tomahawkss_black,10
50034,特殊武器箱,5262,af2011a1_ruby1,10
50034,特殊武器箱,5306,striker12_newpanda1,10
50034,特殊武器箱,5312,kriss_superv_honor,10
50034,特殊武器箱,5299,galilsniper_tesla,10
50034,特殊武器箱,5260,k12_opal1,10
50034,特殊武器箱,5290,KNIFE_lollipop,10
50034,特殊武器箱,5168,heartgrenade2,10
50034,特殊武器箱,5333,aek971_blackmamba1,10
50034,特殊武器箱,5327,t86_marble1,10
50034,特殊武器箱,5152,acr_amethyst1,10
50034,特殊武器箱,5237,ar57_magpie,10
50034,特殊武器箱,5315,awm_lion,10
50034,特殊武器箱,5127,aek971_eagle1,10
50034,特殊武器箱,5197,csls06_camo2,10
50034,特殊武器箱,5120,scarH_camo1,10
50034,特殊武器箱,5116,ak12_camo1,10
50034,特殊武器箱,5057,m249_spray1,10
50034,特殊武器箱,5175,mk18_spray1,10
50034,特殊武器箱,5068,F2000_spray1,10
50034,特殊武器箱,2008,POINTLOTTO,40
50034,特殊武器箱,2014,POINTLOTTO_GOLD,40
50034,特殊武器箱,2013,POINTLOTTO_EVENT,40
50036,冰橙补给箱,94,ak47flash,10
50036,冰橙补给箱,5339,m99railgun_black,10
50036,冰橙补给箱,5360,elites_neon1,10
50036,冰橙补给箱,5246,GLOCK18_gauss,10
50036,冰橙补给箱,5242,m870_cobalt1,10
50036,冰橙补给箱,5144,mp7_chrome1,10
50036,冰橙补给箱,5145,krisssuperv_chrome1,10
50036,冰橙补给箱,5133,scout_gold1,10
50036,冰橙补给箱,5366,m27iar_xmas,10
50036,冰橙补给箱,5232,CROWBAR_gold,10
50036,冰橙补给箱,5219,mk18_nebula,10
50036,冰橙补给箱,5355,scarH_athena,10
50036,冰橙补给箱,5266,m16a2_gamania01,10
50036,冰橙补给箱,5187,k5_infernal1,10
50036,冰橙补给箱,5139,g3sg1_heer1,10
50036,冰橙补给箱,5221,wrench_infernal1,10
50036,冰橙补给箱,5084,deserteagle_camo1,10
50036,冰橙补给箱,5088,mp5_camo1,10
50036,冰橙补给箱,5155,m4a1_1111,10
50036,冰橙补给箱,5090,galil_camo1,10
50036,冰橙补给箱,5192,qsz92_paint1,10
50036,冰橙补给箱,5060,tmp_spray1,10
50036,冰橙补给箱,5049,fiveseven_spray1,10
50036,冰橙补给箱,2008,POINTLOTTO,40
50036,冰橙补给箱,2014,POINTLOTTO_GOLD,40
50036,冰橙补给箱,2013,POINTLOTTO_EVENT,40
50041,冰雪补给箱,5271,GLOCK18_gold1,10
50041,冰雪补给箱,5270,usp_gold1,10
50041,冰雪补给箱,5141,famas_gold1,10
50041,冰雪补给箱,5142,galil_gold1,10
50041,冰雪补给箱,5133,scout_gold1,10
50041,冰雪补给箱,5284,mp5_panda,10
50041,冰雪补给箱,5210,akm_panda,10
50041,冰雪补给箱,5302,qjy88_panda,10
50041,冰雪补给箱,5208,qbs09_panda,10
50041,冰雪补给箱,5207,qsz92_panda,10
50041,冰雪补给箱,5209,csls06_panda,10
50041,冰雪补给箱,5291,qbz95_panda,10
50041,冰雪补给箱,5084,deserteagle_camo1,10
50041,冰雪补给箱,5086,m3_camo1,10
50041,冰雪补给箱,5089,p90_camo1,10
50041,冰雪补给箱,5094,awp_camo1,10
50041,冰雪补给箱,5124,m249_camo1,10
50041,冰雪补给箱,5043,GLOCK18_spray1,10
50041,冰雪补给箱,5054,usp_spray1,10
50041,冰雪补给箱,5046,mac10_spray1,10
50041,冰雪补给箱,5060,tmp_spray1,10
50041,冰雪补给箱,5072,m60_spray1,10
50041,冰雪补给箱,5179,awm_spray1,10
50041,冰雪补给箱,2008,POINTLOTTO,40
50041,冰雪补给箱,2014,POINTLOTTO_GOLD,40
50041,冰雪补给箱,2013,POINTLOTTO_EVENT,40
50001,幸运补给箱,5319,tmpmelt_prototype,10
50001,幸运补给箱,5288,deserteagle_amethyst1,10
50001,幸运补给箱,5161,elites_silver1,10
50001,幸运补给箱,5130,m3_gold1,10
50001,幸运补给箱,5251,mac10_silver1,10
50001,幸运补给箱,5367,ar57_xmas,10
50001,幸运补给箱,5313,awm_honor,10
50001,幸运补给箱,5239,m60_cobalt1,10
50001,幸运补给箱,5249,galil_silver1,10
50001,幸运补给箱,5218,akm_nebula,10
50001,幸运补给箱,5324,scarl_gold1,10
50001,幸运补给箱,5207,qsz92_panda,10
50001,幸运补给箱,5154,AWP_1111,10
50001,幸运补给箱,5233,m79_hunter1,10
50001,幸运补给箱,5362,knife_dione,10
50001,幸运补给箱,5148,usp_camo1,10
50001,幸运补给箱,5122,scout_camo1,10
50001,幸运补给箱,5097,fal_camo1,10
50001,幸运补给箱,5043,GLOCK18_spray1,10
50001,幸运补给箱,5045,xm1014_spray1,10
50001,幸运补给箱,5074,ar57_spray1,10
50001,幸运补给箱,5177,akm_spray1,10
50001,幸运补给箱,2008,POINTLOTTO,40
50001,幸运补给箱,2014,POINTLOTTO_GOLD,40
50001,幸运补给箱,2013,POINTLOTTO_EVENT,40
50024,深蓝补给箱,160,awmgaussplus,10
50024,深蓝补给箱,5294,fiveseven_cobalt1,10
50024,深蓝补给箱,5261,usas12_opal1,10
50024,深蓝补给箱,5285,ar57_neon1,10
50024,深蓝补给箱,5252,tmp_silver1,10
50024,深蓝补给箱,5275,m99_xmas,10
50024,深蓝补给箱,5140,m60_gold1,10
50024,深蓝补给箱,87,pkmfire,10
50024,深蓝补给箱,5297,huntknife_cobalt1,10
50024,深蓝补给箱,45,ak47_gold,10
50024,深蓝补给箱,5184,aek971_cobalt1,10
50024,深蓝补给箱,5307,g3ka4_pink1,10
50024,深蓝补给箱,5263,GILBOASNAKE_ruby1,10
50024,深蓝补给箱,5284,mp5_panda,10
50024,深蓝补给箱,5206,awm_infernal1,10
50024,深蓝补给箱,5283,chocogrenade,10
50024,深蓝补给箱,5136,famas_chicken1,10
50024,深蓝补给箱,5096,striker12_camo1,10
50024,深蓝补给箱,5189,k1_camo2,10
50024,深蓝补给箱,5098,FNC_camo1,10
50024,深蓝补给箱,5092,ak47_camo1,10
50024,深蓝补给箱,5075,kriss_superv_spray1,10
50024,深蓝补给箱,5047,aug_spray1,10
50024,深蓝补给箱,5081,ak12_spray1,10
50024,深蓝补给箱,2008,POINTLOTTO,40
50024,深蓝补给箱,2014,POINTLOTTO_GOLD,40
50024,深蓝补给箱,2013,POINTLOTTO_EVENT,40
50026,橘红补给箱,105,mp7phoenix,10
50026,橘红补给箱,5244,awmgauss_black,10
50026,橘红补给箱,5270,usp_gold1,10
50026,橘红补给箱,5117,deserteagle_gold1,10
50026,橘红补给箱,5274,usas12_xmas,10
50026,橘红补给箱,5295,tmp_cobalt1,10
50026,橘红补给箱,5248,m99_silver1,10
50026,橘红补给箱,5292,k12_honor,10
50026,橘红补给箱,84,wrench_gold1,10
50026,橘红补给箱,5340,mk18_newpanda1,10
50026,橘红补给箱,5159,acr_xmas1,10
50026,橘红补给箱,5259,k2c_opal1,10
50026,橘红补给箱,5334,ak12_blackmamba1,10
50026,橘红补给箱,5181,xm1014_heart1,10
50026,橘红补给箱,5234,m32_hunter1,10
50026,橘红补给箱,65,fbfirework,10
50026,橘红补给箱,5210,akm_panda,10
50026,橘红补给箱,54,m4a1_tan,10
50026,橘红补给箱,5178,akm_camo1,10
50026,橘红补给箱,5194,qbs09_paint1,10
50026,橘红补给箱,5196,csls06_paint1,10
50026,橘红补给箱,5078,t65_spray1,10
50026,橘红补给箱,2008,POINTLOTTO,40
50026,橘红补给箱,2014,POINTLOTTO_GOLD,40
50026,橘红补给箱,2013,POINTLOTTO_EVENT,40
50033,黄金补给箱,147,tmpmelt,10
50033,黄金补给箱,5363,m60steam_prototype,10
50033,黄金补给箱,5247,deserteagle_gauss,10
50033,黄金补给箱,5271,GLOCK18_gold1,10
50033,黄金补给箱,5264,DP12_ruby1,10
50033,黄金补给箱,5223,mx4_chrome1,10
50033,黄金补给箱,5369,galilsniper_xmas,10
50033,黄金补给箱,5311,m27iar_pink1,10
50033,黄金补给箱,79,huntknife_gold,10
50033,黄金补给箱,46,m4a1_gold,10
50033,黄金补给箱,5344,FNC_honor,10
50033,黄金补给箱,5309,xm8carbine_pink1,10
50033,黄金补给箱,5208,qbs09_panda,10
50033,黄金补给箱,51,cupidawp,10
50033,黄金补给箱,5235,paw20_hunter1,10
50033,黄金补给箱,64,helucketbag,10
50033,黄金补给箱,5316,mk18_falcon,10
50033,黄金补给箱,5086,m3_camo1,10
50033,黄金补给箱,5134,sg550_camo1,10
50033,黄金补给箱,5176,mk18_camo1,10
50033,黄金补给箱,5050,UMP45_spray1,10
50033,黄金补给箱,5179,awm_spray1,10
50033,黄金补给箱,5198,akm_paint1,10
50033,黄金补给箱,5080,acr_spray1,10
50033,黄金补给箱,2008,POINTLOTTO,40
50033,黄金补给箱,2014,POINTLOTTO_GOLD,40
50033,黄金补给箱,2013,POINTLOTTO_EVENT,40
50003,红色箱子,159,m60steam,10
50003,红色箱子,5279,usp_honor,10
50003,红色箱子,5119,ANACONDA_gold1,10
50003,红色箱子,5157,m3boom_amethyst1,10
50003,红色箱子,5182,striker12_cobalt1,10
50003,红色箱子,5320,p90_newpanda1,10
50003,红色箱子,5357,MP7_miu,10
50003,红色箱子,5225,g3sg1_chrome1,10
50003,红色箱子,5224,akm_chrome1,10
50003,红色箱子,5268,mk18_gold1,10
50003,红色箱子,5323,ak12_gold1,10
50003,红色箱子,5126,deserteagle_eagle1,10
50003,红色箱子,5129,m60_komodo1,10
50003,红色箱子,5302,qjy88_panda,10
50003,红色箱子,5318,KNIFE_PHOBOS,10
50003,红色箱子,5085,elites_camo1,10
50003,红色箱子,61,awp_tan,10
50003,红色箱子,88,DEFAULTKNIFECAMO1,10
50003,红色箱子,5156,ak47_1111,10
50003,红色箱子,5054,usp_spray1,10
50003,红色箱子,5058,m3_spray1,10
50003,红色箱子,5051,sg550_spray1,10
50003,红色箱子,5053,famas_spray1,10
50003,红色箱子,2008,POINTLOTTO,40
50003,红色箱子,2014,POINTLOTTO_GOLD,40
50003,红色箱子,2013,POINTLOTTO_EVENT,40
50018,紫色补给箱,162,tmpmeltplus,10
50018,紫色补给箱,5215,elites_amethyst1,10
50018,紫色补给箱,5164,xm1014_silver1,10
50018,紫色补给箱,5310,hk416c_pink1,10
50018,紫色补给箱,5287,kriss_superv_amethyst1,10
50018,紫色补给箱,5213,awm_chngold1,10
50018,紫色补给箱,5332,mg3_neon1,10
50018,紫色补给箱,5330,kukriknife_amethyst1,10
50018,紫色补给箱,5141,famas_gold1,10
50018,紫色补给箱,5336,acr_blackmamba1,10
50018,紫色补给箱,5166,scarh_silver1,10
50018,紫色补给箱,5322,aek971_gold1,10
50018,紫色补给箱,5364,lr300_eagle,10
50018,紫色补给箱,5110,ar57_snake1,10
50018,紫色补给箱,5361,kr4yeargrenade,10
50018,紫色补给箱,5203,mk18_infernal1,10
50018,紫色补给箱,5100,mx4_camo1,10
50018,紫色补给箱,5124,m249_camo1,10
50018,紫色补给箱,5103,t86_camo1,10
50018,紫色补给箱,5067,MP7_spray1,10
50018,紫色补给箱,5044,scout_spray1,10
50018,紫色补给箱,5076,scarl_spray1,10
50018,紫色补给箱,5190,k2c_paint1,10
50018,紫色补给箱,2008,POINTLOTTO,40
50018,紫色补给箱,2014,POINTLOTTO_GOLD,40
50018,紫色补给箱,2013,POINTLOTTO_EVENT,40
50031,神秘礼物箱子（步伐）,40001,step_snow,10
50031,神秘礼物箱子（步伐）,40002,step_FIRE,10
50031,神秘礼物箱子（步伐）,40003,step_SONG,10
50031,神秘礼物箱子（步伐）,40004,step_STAR,10
50031,神秘礼物箱子（步伐）,40005,step_HEAL,10
50031,神秘礼物箱子（步伐）,40006,step_TRAIL01,10
50031,神秘礼物箱子（步伐）,40007,step_TRAIL02,10
50031,神秘礼物箱子（步伐）,40008,step_TRAIL03,10
50031,神秘礼物箱子（步伐）,40009,step_zombie,10
50031,神秘礼物箱子（步伐）,40010,step_light,10
50031,神秘礼物箱子（步伐）,40011,step_smoke,10
50031,神秘礼物箱子（步伐）,40012,step_fastdust,10
50031,神秘礼物箱子（步伐）,40013,step_buster,10
50031,神秘礼物箱子（步伐）,40014,step_smoke_c,10
50031,神秘礼物箱子（步伐）,40015,step_firework,10
50031,神秘礼物箱子（步伐）,40016,step_grass,10
50031,神秘礼物箱子（步伐）,40017,step_chuseok01,10
50031,神秘礼物箱子（步伐）,40018,step_china,10
50031,神秘礼物箱子（步伐）,40019,step_korean,10
50031,神秘礼物箱子（步伐）,40020,step_halloween,10
50031,神秘礼物箱子（步伐）,40021,step_dragonboat,10
50031,神秘礼物箱子（步伐）,40022,step_love,10
50031,神秘礼物箱子（步伐）,40023,step_bluephoenix,10
50031,神秘礼物箱子（步伐）,40024,step_crow,10
50031,神秘礼物箱子（步伐）,40025,step_gamania,10
50004,绿色武器箱,150,m99railgun,10
50004,绿色武器箱,5280,GLOCK18_honor,10
50004,绿色武器箱,5121,waltherpp_silver1,10
50004,绿色武器箱,5146,striker12_chrome1,10
50004,绿色武器箱,5346,UMP45_ruby1,10
50004,绿色武器箱,5132,mp5_gold1,10
50004,绿色武器箱,5241,sg550_cobalt1,10
50004,绿色武器箱,5352,bar_opal1,10
50004,绿色武器箱,5289,m60_amethyst1,10
50004,绿色武器箱,5326,t65_marble1,10
50004,绿色武器箱,5331,akm_newpanda1,10
50004,绿色武器箱,5296,acr_cobalt1,10
50004,绿色武器箱,5301,deserteagle_bluephoenix,10
50004,绿色武器箱,5138,sg550_schweizergarde1,10
50004,绿色武器箱,5160,huntknife_monkey1,10
50004,绿色武器箱,5291,qbz95_panda,10
50004,绿色武器箱,5186,k5_camo2,10
50004,绿色武器箱,5135,g3sg1_camo1,10
50004,绿色武器箱,5093,m4a1_camo1,10
50004,绿色武器箱,5091,famas_camo1,10
50004,绿色武器箱,5048,elites_spray1,10
50004,绿色武器箱,5046,mac10_spray1,10
50004,绿色武器箱,5079,t86_spray1,10
50004,绿色武器箱,2008,POINTLOTTO,40
50004,绿色武器箱,2014,POINTLOTTO_GOLD,40
50004,绿色武器箱,2013,POINTLOTTO_EVENT,40
50023,冰冻补给箱,93,m4a1flash,10
50023,冰冻补给箱,5338,m99railgun_proto,10
50023,冰冻补给箱,5356,deserteagle_athena,10
50023,冰冻补给箱,5245,usp_gauss,10
50023,冰冻补给箱,5150,dbarrel_amethyst1,10
50023,冰冻补给箱,5258,K1_opal1,10
50023,冰冻补给箱,5321,MP7_neon1,10
50023,冰冻补给箱,5118,awp_gold2,10
50023,冰冻补给箱,5314,m60_newpanda1,10
50023,冰冻补给箱,5231,harpoon_gold,10
50023,冰冻补给箱,5169,aug_opal1,10
50023,冰冻补给箱,5222,F2000_chrome1,10
50023,冰冻补给箱,5217,k2c_amethyst1,10
50023,冰冻补给箱,5104,M3_wolf1,10
50023,冰冻补给箱,5236,chinalake_hunter1,10
50023,冰冻补给箱,83,wrench_black1,10
50023,冰冻补给箱,81,milagrenade,10
50023,冰冻补给箱,5193,qsz92_camo2,10
50023,冰冻补给箱,5202,mk18_camo2,10
50023,冰冻补给箱,5199,akm_camo2,10
50023,冰冻补给箱,5185,k5_paint1,10
50023,冰冻补给箱,5056,mp5_spray1,10
